2,10,14,17,18,20,21,25|8
4,7,10,13,17,18,19,24,32|14
5,8,9,12,13,14,15,19,20,21,26,27,30,31,32|16
1,2,3,5,10,14,15,18,21,23,26,29,30,33|5
1,2,3,6,10,12,14,17,20,22,24,28,30,31|10
2,6,10,15,20,21,23,24,27,30|16
5,6,12,18,21,27,30|4,6,14,16
1,6,13,19,20,28,30,31|8
4,5,8,9,14,18,22,25,29|10
1,4,5,11,13,15,16,18,21,27,29,33|9,10
3,4,6,10,15,17,18,21,24,28,29,30|1,5,6
4,6,10,15,17,18,21,24,29,30|5
2,6,7,13,17,18,23,28,29,30,32|3,15
3,6,8,9,11,12,13,15,17,19,21,23,27,28,32,33|2
3,6,8,9,11,12,13,17,21,23,27,28,30,32|5,11
2,4,8,11,12,16,18,23,25,26,29,30,32|11
4,5,7,9,18,19,24,29,30,31,32,33|1
2,3,8,10,12,18,19,21,25,33|5,13
6,10,13,17,18,27,32|9
3,4,7,8,10,11,13,15,16,32|4
2,5,6,7,8,11,12,16,18,19,26,27,30,32,33|12
10,12,13,14,17,20,21,22,24,25,26,28,30|10
3,4,6,7,9,10,11,12,26,27,28,30,31,32,33|16
1,2,5,8,10,11,13,16,18,21,22|1,5
3,6,8,9,11,12,13,15,17,19,21,23,27,28,32,33|2
3,6,8,9,11,12,13,17,21,23,27,28,30,32|5,11
1,2,5,9,14,16,19,20,23,24,30,31|8,9
3,4,12,13,16,17,20,22,27,32,33|2,6,12
2,4,8,11,12,16,18,23,25,26,29,30,32|11
4,5,7,9,18,19,24,29,30,31,32,33|1
3,6,7,13,15,16,18,20,23,24,26,28,30|15
6,10,11,12,13,17,19,21,24,25,27,29,31|6,8
1,3,5,6,8,11,13,15,17,19,23,24,25,31|12
1,2,4,6,10,16,17,19,20,21,24|9
8,10,11,15,18,28,29|8
