中彩昭明:2,4,7,12,15,18,21,24,25,26,29,31|3,6,9
齐天大圣:3,4,8,9,11,12,16,17,18,20,24,25|4,6,14
小神通:3,10,11,13,15,18,20,27,28,31,32,33|5,7,13
高手的姐:1,2,3,5,7,9,13,16,18,21,28,31|5,7,9
德胜:2,4,6,8,9,13,17,21,26,27,29,30|7,11,14
小财神:1,2,3,8,9,10,11,14,20,25,26,33|14,15,16
古灵精怪:2,8,9,11,17,18,19,20,22,25,29,31|10,11,12
小水瓶2018:5,9,10,11,15,16,17,18,20,25,27,31|6,7,12
南天一注:2,4,8,10,14,16,20,24,26,28,30,32|1,3,7
双人组:2,5,6,11,16,19,20,22,23,25,28,30|2,8,10
锅子之锄禾:1,6,8,11,14,16,18,21,23,27,28,30|3,5,6
军辉:2,3,6,8,13,17,18,22,25,27,28,30|1,4,7
aming8889888:1,4,7,8,16,17,18,20,26,27,29,30|2,4,8
东北老李:1,2,3,4,11,12,18,19,20,25,26,33|14,15,16
三人小组:4,9,10,12,13,15,20,21,22,25,27,33|7,9,10
南门城楼:3,9,10,14,15,16,17,18,22,25,27,32|3,7,9
开平碉楼:3,5,9,11,12,14,20,22,25,26,29,30|1,7,8
