高手的姐:2,4,6,9,12,15,16,20,25,26,29,32|5,7,8
德胜:2,5,6,7,8,9,11,19,21,27,29,32|2,8,12
三人小组:4,6,8,11,13,15,17,19,22,27,29,32|8,9,13
军辉:2,3,6,11,13,15,16,22,24,26,31,33|2,6,7
中彩昭明:2,4,9,11,13,14,19,23,24,26,27,29|9,10,16
锅子之锄禾:4,5,6,9,12,13,20,22,23,24,25,27|5,10,13
南天一注:1,8,15,16,17,20,24,25,28,30,32,33|1,9,10
齐天大圣:2,4,6,9,10,13,14,15,20,23,24,27|3,5,13
小神通:1,6,7,13,15,19,21,24,25,27,29,33|2,3,4
古灵精怪:4,10,11,14,15,20,21,22,25,29,32,33|4,5,6
aming8889888:1,4,5,9,12,13,16,19,22,23,25,32|9,11,12
开平碉楼:1,6,8,10,12,19,20,22,25,27,28,32|6,8,12
双人组:2,6,9,12,17,20,23,26,27,29,30,32|6,8,10
小财神:1,2,3,4,11,12,15,16,20,23,28,32|12,13,14
东北老李:1,2,3,6,10,11,15,18,19,20,23,24|4,8,12
南门城楼:2,3,7,9,12,14,16,21,24,26,29,31|5,6,8
小水瓶2018:1,2,7,12,13,14,18,19,20,25,29,30|3,11,16
