齐天大圣:1,2,3,8,10,17,18,20,21,23,28,30|1,2,3
阿拉丁:1,3,6,7,8,10,16,17,23,28,29,30|7,12,15
中彩昭明:3,4,6,12,13,16,18,23,25,26,28,29|11,14,15
东北老李:1,2,3,8,9,11,12,14,15,20,23,26|2,4,6
军辉:2,3,8,9,15,16,19,22,24,27,30,33|1,6,9
高手的姐:2,4,6,9,12,15,16,20,25,26,29,32|4,7,8
小财神:1,2,3,5,7,9,10,16,18,20,24,32|12,13,14
小水瓶2018:2,4,7,9,14,15,16,18,25,26,29,31|9,10,14
开平碉楼:1,6,8,10,15,18,22,23,27,28,29,32|8,10,16
古灵精怪:1,2,7,13,15,20,21,23,25,27,31,32|8,9,10
南天一注:2,5,8,11,13,16,20,25,26,28,30,32|1,9,13
锅子之锄禾:1,2,3,12,13,18,20,23,25,26,32,33|12,13,14
双人组:4,7,8,10,12,13,18,26,27,28,30,32|6,8,10
小神通:2,3,11,16,17,20,21,27,28,29,31,33|2,6,13
aming8889888:3,4,7,8,12,16,17,19,20,21,24,25|3,9,12
三人小组:7,9,10,12,16,19,20,22,25,26,27,29|4,8,10
德胜:11,17,18,20,21,22,23,24,25,27,29,31|3,6,7
