南天一注:1,2,8,16,17,20,24,28,29,30,32,33|1,8,16
南天一注:5,6,7,10,12,16,17,20,27,28,29,33|2,8,16
古灵精怪:2,4,11,12,14,16,19,20,21,27,28,29|1,8,9
斜阳追月:3,5,6,7,9,13,14,15,26,28,31,33|6,8,16
开平碉楼:1,2,7,10,11,14,18,19,22,24,25,32|5,6,7
GM.chen:2,3,8,12,13,16,19,21,23,24,26,28|2,8,11
中彩昭明:4,6,9,12,13,16,19,22,23,26,27,28|10,11,12
军辉:5,6,7,10,12,16,17,20,27,28,29,33|2,8,16,
东北老李:4,5,6,11,12,18,19,20,23,25,27,29|14,15,16
三人小组:4,6,9,14,17,20,22,26,28,29,30,32|3,8,12
小财神:1,2,3,4,12,15,16,20,22,23,24,28,9|10,11
阿拉丁:3,5,7,11,16,18,20,22,26,27,31,32|2,8,10
天衍之数:2,6,8,12,13,17,19,22,25,28,31,32|1,8,11
锅子之锄禾:2,9,10,14,18,19,21,25,26,27,31,32|2,5,8
齐天大圣:5,6,11,16,17,19,21,23,24,26,30,31|6,9,11
双人组:2,4,6,9,17,18,19,22,24,26,27,31|1,8,11
aming8889888:6,7,13,14,18,19,20,21,25,26,31,32|3,13,16
德胜:5,9,7,11,13,16,19,21,23,25,29,33|3,10,13
