锅子之锄禾:4,6,8,9,10,11,13,16,20,27,29,31,1,11,15
双人组:3,4,6,8,10,13,20,21,26,27,28,31|1,8,9
aming8889888:7,10,11,12,16,17,20,21,23,24,26,27|3,5,7
小神通:2,3,11,16,17,20,21,27,28,29,31,33|2,6,13
GM.chen:3,4,6,9,11,16,17,20,25,28,29,33|1,11,13
小财神:1,2,3,4,10,11,12,16,20,23,28,32|5,13,15
古灵精怪:1,2,11,13,14,15,23,24,25,27,28,30|7,8,9
天衍之数:2,3,9,10,11,15,16,18,25,27,28,31|5,9,10
弹指神功:1,3,5,7,12,17,21,24,26,27,29,32|12,14,15
东北老李:1,2,3,4,10,11,12,18,19,20,26,32|5,13,15
南天一注:2,4,8,12,16,18,20,23,24,28,30,32|1,2,6
齐天大圣:1,4,6,8,14,16,19,20,26,28,29,31|11,12,13
三人小组:3,11,12,14,16,17,18,20,23,24,25,27|2,6,9
阿拉丁:3,7,8,9,11,15,18,20,21,24,27,29|2,8,15
斜阳追月:4,10,11,15,16,18,19,21,28,29,30,33|1,10,13
德胜:4,6,8,9,14,16,20,21,26,28,29,33|4,14,15
开平碉楼:1,2,5,8,9,10,11,20,21,27,28,32|5,6,7
