古灵精怪:2,3,4,11,12,14,15,16,25,26,27,30|10,11,12
小水瓶2018:1,2,5,11,13,17,22,23,25,27,28,30|3,7,9
南天一注:4,8,14,15,16,20,23,24,25,26,28,30|1,3,7
中彩king:1,3,5,7,12,13,14,15,23,26,31,32|9,13,14
齐天大圣:6,7,8,9,10,18,19,21,23,29,30,32|3,6,8
双人组:2,3,5,8,10,12,13,17,21,23,24,27|1,6,10
千年老二:1,3,6,12,14,18,20,22,23,26,29,32|1,7,12
小神通:5,9,10,14,17,18,21,24,25,27,29,30|2,3,5
军辉:3,5,6,8,14,17,19,22,24,27,30,31|3,5,6
高手的姐:1,3,7,10,12,14,17,19,25,29,30,33|1,3,11
aming8889888:6,8,9,10,14,16,19,21,22,25,29,31|5,11,12
东北老李:1,2,3,8,9,10,15,16,19,20,23,24|4,5,11
三人小组:4,5,9,13,17,19,21,23,25,27,29,31|3,4,11
小财神:1,2,3,6,11,12,15,18,19,20,22,24|4,5,11
德胜:3,5,8,9,12,14,18,20,24,25,30,31|7,14,16
南门城楼:1,2,4,7,8,13,19,22,24,27,31,33|3,8,9
开平碉楼:2,3,6,8,10,11,12,14,19,23,24,32|1,3,7
