小神通:1,3,7,10,14,18,22,26,27,29,30,32|1,7,9
开平碉楼:1,6,8,12,14,19,20,22,24,25,27,30|3,7,10,
小财神:1,2,3,4,11,12,15,16,20,23,28,30|1,9,13
高手的姐:1,5,6,7,11,15,16,21,23,28,30,31|4,6,9
南天一注:1,8,15,16,20,24,25,26,28,30,32,33|1,3,7
齐天大圣:1,2,4,5,6,7,8,11,14,20,22,30|3,9,13
aming8889888:4,6,10,14,15,19,20,21,24,25,27,31|11,12,13
东北老李:1,2,3,6,11,12,14,19,20,23,25,28|8,9,10
德胜:3,5,9,12,14,18,20,24,26,27,29,33|5,9,16
军辉:2,3,6,10,11,15,16,17,21,22,24,29|8,11,15
三人小组:1,7,9,13,15,16,17,19,21,24,28,29|7,13,15
南门城楼:2,6,10,12,13,17,20,22,27,29,31,32|3,11,13,
古灵精怪:4,5,9,11,14,15,16,18,20,24,25,27|8,9,10
小水瓶2018:2,5,7,10,12,13,17,18,20,26,27,31|3,10,15
中彩king:1,5,11,14,15,17,18,21,26,28,30,32|1,8,16
双人组:1,4,6,10,12,15,17,19,27,28,30,33|1,5,9
千年老二:1,5,7,11,16,18,20,21,22,26,27,30|5,7,9
