开平碉楼:2,5,9,11,12,14,20,22,25,27,28,32|3,7,16
小神通:1,4,5,9,12,13,17,18,19,26,29,31|1,10,16
小财神:1,2,5,7,9,10,16,20,23,24,28,30|9,11,14
南天一注:1,2,4,8,16,20,24,28,30,31,32,33|1,3,8
军辉:2,3,8,9,13,18,19,22,25,27,28,32|2,3,5
齐天大圣:1,2,4,5,9,10,13,15,16,25,26,32|2,5,8
高手的姐:7,9,12,13,15,16,20,21,22,23,25,28|1,4,15
aming8889888:1,5,6,8,9,16,21,22,25,26,27,29|10,12,15
东北老李:1,2,3,4,10,12,15,16,20,23,28,30|9,11,14
三人小组:2,6,8,9,11,13,19,23,24,25,27,29|5,8,12
中彩king:1,4,5,7,11,15,19,23,24,26,29,30|3,5,9
双人组:2,5,8,14,15,16,20,21,26,29,30,32|2,8,12
德胜:2,4,11,12,14,15,17,18,20,24,27,30|7,8,9
南门城楼:1,7,8,11,13,18,24,25,27,29,31,32|1,8,14
古灵精怪:3,4,5,7,12,16,17,18,20,24,25,27|4,5,6
小水瓶2018:1,10,11,12,13,17,18,20,24,25,26,28|2,3,15
千年老二:3,8,10,11,18,20,21,23,24,25,26,32|2,5,16
