三人小组:2,3,5,7,12,13,17,19,21,28,30,32|7,8,12
开平碉楼:1,6,9,10,11,13,15,20,22,25,31,32|2,7,8
小神通:2,3,4,5,10,13,14,21,22,23,28,30|2,6,16
小财神:1,2,5,6,10,11,12,18,20,22,24,31|2,13,14
军辉:1,3,6,7,13,14,19,21,25,26,28,33|1,5,6
中彩king:2,3,8,16,23,25,27,28,29,30,32,33|2,14,15
南天一注:1,2,8,9,14,15,16,20,25,26,32,33|1,7,11
齐天大圣:1,3,9,12,17,18,19,20,23,24,27,32|2,4,6
双人组:2,6,9,10,11,12,17,20,21,27,30,31|4,6,12
高手的姐:3,5,9,15,16,18,19,21,23,26,27,29|1,4,8
南门城楼:1,2,4,5,9,14,17,21,23,27,29,31|4,9,12
aming8889888:1,3,10,11,15,17,20,21,23,27,31,33|2,6,14
东北老李:1,2,5,6,11,12,18,19,20,23,24,31|2,13,14
德胜:9,10,12,13,18,20,23,24,25,30,32,33|1,5,8
古灵精怪:4,8,10,13,15,18,19,20,22,25,26,31|6,7,8
小水瓶2018:3,4,7,13,14,17,19,20,25,26,28,33|3,7,12
千年老二:1,2,4,5,6,11,18,22,25,26,27,29|1,5,8
