1:1,2,3,4,8,9,13,16,17,19,21,22,24,26,27,29,32,33
2:1,2,3,6,7,10,14,16,17,18,20,22,23,25,27,30,32,33
3:1,2,4,5,6,10,15,17,18,20,21,22,23,25,26,27,31,33
4:1,2,4,6,8,11,12,17,19,20,21,22,24,25,26,27,28,33
5:1,2,5,7,9,11,12,13,14,15,17,22,27,28,29,30,31,33
6:1,2,5,8,9,10,13,15,17,18,19,22,23,24,27,29,31,33
7:1,3,4,5,7,8,14,15,16,17,19,21,24,26,30,31,32,33
8:1,3,4,6,7,11,12,14,16,17,20,21,25,26,28,30,32,33
9:1,3,5,6,9,11,12,13,15,16,17,20,25,28,29,31,32,33
10:1,3,5,8,10,11,12,15,16,17,18,19,23,24,28,31,32,33
11:1,4,7,9,10,11,12,13,14,17,18,21,23,26,28,29,30,33
12:1,6,7,8,9,10,13,14,17,18,19,20,23,24,25,29,30,33
13:2,3,4,5,10,11,12,15,16,18,21,22,23,26,27,28,31,32
14:2,3,5,6,7,8,14,15,16,19,20,22,24,25,27,30,31,32
15:2,3,6,9,10,11,12,13,16,18,20,22,23,25,27,28,29,32
16:2,3,7,8,9,11,12,13,14,16,19,22,24,27,28,29,30,32
17:2,4,5,6,7,9,13,14,15,20,21,22,25,26,27,29,30,31
18:2,4,7,8,10,11,12,14,18,19,21,22,23,24,26,27,28,30
19:3,4,5,7,9,10,13,14,15,16,18,21,23,26,29,30,31,32
20:3,4,6,8,9,10,13,16,18,19,20,21,23,24,25,26,29,32
21:4,5,6,8,9,11,12,13,15,19,20,21,24,25,26,28,29,31
22:5,6,7,8,10,11,12,14,15,18,19,20,23,24,25,28,30,31
