齐天大圣:1,5,6,7,10,15,20,21,22,24,25,30|3,14,16
擂台探花:4,8,11,15,16,18,20,21,22,24,27,29|1,5,7
中彩king:3,6,13,15,17,19,22,23,25,27,29,31|11,12,14,
德胜:2,3,5,12,13,17,18,20,23,24,29,33|3,11,12
军辉:4,5,8,10,13,16,19,22,23,25,30,32|3,6,7
aming8889888:2,4,6,8,15,16,19,21,23,25,27,29|7,9,16
三人小组:2,4,7,9,12,13,15,20,25,29,31,32|4,6,8
南门城楼:2,4,5,8,10,11,12,19,20,25,26,29|3,5,7
古灵精怪:7,8,14,15,16,17,18,21,22,23,28,29|4,5,6
千年老二:2,5,9,10,14,15,16,20,25,27,30,33|7,10,12
15988221845:5,6,13,15,16,17,22,23,25,27,29,33|5,10,13
彩开彩凤:2,4,6,8,10,11,14,17,22,25,26,29|3,15,16
中彩昭明:2,4,9,11,13,15,19,22,24,27,29,32|10,12,15
高手的姐:1,3,8,9,13,16,18,20,24,29,32,33|2,8,16
东北老李:1,2,3,4,10,11,12,18,20,25,26,33|3,5,16
小财神:1,4,6,18,20,21,22,23,25,27,29,33|2,8,15
双人组:2,5,7,10,16,19,20,22,24,28,31,32|3,6,7
