彩开彩凤:3,7,11,13,14,16,17,20,25,29,30,31|4,5,6
东北老李:1,2,3,5,7,9,13,14,20,26,28,33|11,13,16
德胜:4,6,9,10	,18,20,21,22,24,26,27,32|2,4,5
南门城楼:3,8,9,10,12,16,19,23,25,29,30,32|4,8,9
aming8889888:4,6,9,11,14,18,19,26,27,29,31,32|7,13,14
三人小组:3,7,9,12,13,15,17,19,23,25,27,31|1,3,15
擂台探花:3,4,9,10,12,16,17,22,25,29,30,33|4,6,8
古灵精怪:1,2,5,10,11,15,18,19,20,24,27,30|12,13,14
中彩昭明:3,4,6,11,13,16,18,21,24,27,29,31|1,3,7
齐天大圣:1,6,8,11,12,15,17,18,20,25,26,30|8,11,14
双人组:3,4,7,10,15,18,19,21,25,28,29,31|1,4,15
千年老二:6,9,10,12,14,16,18,19,22,23,25,31|6,7,10
铁树开花:2,4,7,11,14,20,21,23,30,31,32,33|2,15,16
军辉:1,2,8,10,13,15,18,20,24,25,31,32	|9,11,12
高手的姐:3,7,8,10,12,16,17,22,25,29,30,33|4,6,8
小财神:1,4,6,10,12,13,15,17,19,20,28,33|11,13,16
15988221845:2,5,7,9,11,12,16,19,20,27,30,32|2,10,12
