开平碉楼:1,6,8,12,14,19,20,21,24,26,29,30|3,7,12
小财神:1,2,3,4,11,12,18,19,20,25,26,33|10,14,16
南天一注:1,2,8,11,15,16,20,24,28,30,32,33|1,3,7
齐天大圣:1,5,10,11,12,13,18,20,24,28,32,33|2,4,6
东北老李:2,3,5,7,9,11,14,16,20,22,28,29|1,9,13
德胜:4,7,10,13,14,16,20,22,24,27,28,29|4,5,14
军辉:3,5,8,9,15,16,18,20,26,29,30,31|1,2,3
高手的姐:1,2,7,10,13,17,19,20,26,29,31,32|2,3,5
三人小组:2,4,8,10,12,14,21,22,24,26,27,29|9,10,14
南门城楼:2,4,6,12,13,14,16,20,27,28,29,31|1,7,9
古灵精怪:4,5,9,11,12,13,16,18,20,22,23,27|8,9,10
小水瓶2018:1,2,9,10,13,14,16,20,27,28,29,32|3,7,9
中彩king:4,6,7,10,12,13,16,18,20,25,26,27|2,9,12
双人组:4,5,11,12,15,18,21,24,25,27,29,30|1,5,9
千年老二:1,6,8,11,16,18,20,21,22,25,27,31|5,9,12
小神通:1,2,4,11,13,14,17,18,22,23,30,33|1,8,16
aming8889888:5,6,9,10,13,17,18,24,25,27,28,29|7,9,11
