小神通:4,5,6,11,14,16,22,23,24,25,26,31|3,7,9
开平碉楼:1,6,8,10,14,18,20,22,24,25,29,32|1,3,7
小财神:1,2,3,4,11,12,15,18,20,22,23,26|8,9,10
军辉:1,3,6,7,15,18,19,22,25,28,29,32|3,4,6
高手的姐:1,2,7,10,13,17,19,20,26,29,31,32|2,3,6
aming8889888:5,6,11,12,14,15,16,17,22,25,27,29|10,12,14
南天一注:2,8,15,16,20,24,25,26,28,30,32,33|1,4,7
齐天大圣:1,4,11,12,18,19,20,22,27,29,30,32|5,12,15
双人组:4,7,11,12,14,15,19,20,26,28,29,33|2,8,12
东北老李:1,2,3,5,7,9,11,14,16,20,28,31|11,13,14
德胜:2,5,6,9,10,11,13,15,20,25,31,32|5,9,12
南门城楼:4,9,11,12,13,15,19,22,25,28,29,30|2,5,9
三人小组:4,6,9,12,13,18,19,26,27,29,30,31|3,8,16
古灵精怪:4,5,7,11,14,15,16,18,20,24,25,27|6,7,8
小水瓶2018:2,5,7,8,13,17,18,19,20,26,27,30|3,10,15
中彩king:4,6,11,12,14,15,18,21,24,28,29,31|2,3,5
千年老二:1,5,7,11,16,18,20,21,22,26,27,30|5,7,9
