中彩king:4,6,9,11,14,17,18,19,21,26,29,31|2,4,6
齐天大圣:1,3,8,9,11,13,14,16,18,19,22,24|4,7,10
军辉:3,4,7,9,15,16,19,22,23,24,27,30|10,13,16
aming8889888:5,9,10,11,14,15,16,18,23,25,27,28|5,11,16
擂台探花:4,6,7,13,16,17,18,19,24,26,28,31|4,9,15
高手的姐:3,4,8,9,13,16,19,22,25,28,29,32|2,7,15
德胜:2,6,7,9,13,14,17,20,23,24,27,30|1,5,14
三人小组:5,7,8,9,18,20,23,27,29,30,31,33|3,6,7
千年老二:4,6,9,10,12,14,19,20,22,25,29,30|7,10,16
古灵精怪:1,2,4,15,16,17,18,19,22,26,28,33|8,9,10
彩开彩凤:2,3,4,6,9,12,16,21,24,25,27,29|1,3,5
小财神:1,3,4,5,6,11,18,22,23,25,27,29|2,9,12
15988221845:2,3,4,5,6,10,16,21,23,25,27,29|7,9,13
南门城楼:4,6,8,9,16,21,23,27,29,30,31,33|3,6,9
双人组:3,6,10,11,12,18,21,23,25,26,30,33|1,6,13
东北老李:1,2,3,4,10,11,18,19,20,23,25,26|2,9,12
中彩昭明:4,6,11,13,16,17,19,23,24,26,27,29|6,10,15,
