古灵精怪:2,3,4,15,16,17,18,19,22,26,28,33|5,6,7
南门城楼:6,12,16,17,22,24,25,27,28,30,32,33|8,11,15
中彩king:1,2,7,8,11,12,14,16,18,26,29,32,12|13,14
中彩昭明:2,3,4,11,13,15,16,21,24,26,29,31|8,10,16
齐天大圣:1,2,3,5,10,11,14,15,16,19,24,25|3,4,7
双人组:2,4,8,11,13,14,16,22,24,25,28,31|1,6,13
千年老二:4,6,9,10,12,14,19,20,22,25,29,30|7,10,16
小神通:2,3,5,6,9,14,15,19,22,23,25,32|10,14,16
高手的姐:1,5,9,11,13,15,16,17,26,28,29,31|1,9,11
aming8889888:5,7,8,9,10,11,15,16,17,18,20,21|9,10,15
东北老李:1,2,3,5,7,9,11,18,20,24,26,33|5,14,16
三人小组:1,9,11,15,17,19,20,23,27,29,30,33|10,13,16
德胜:3,4,6,12,13,15,16,17,18,24,27,28|12,15,16
15988221845:1,4,6,8,11,14,15,18,24,25,29,30|4,9,15
擂台探花:1,2,5,6,7,9,13,19,22,25,29,30|3,9,15
