齐天大圣:2,4,6,7,9,15,18,19,20,21,22,24|10,11,12
古灵精怪:2,3,7,11,12,14,15,16,25,26,29,30|4,5,6
德胜:3,5,8,13,14,16,21,26,29,30,32,33|5,6,14
东北老李:1,2,3,5,7,9,10,12,14,20,26,28|4,9,11
中彩昭明:4,6,10,11,13,14,16,20,23,26,29,32|1,5,9
中彩king:2,4,10,11,13,14,16,20,23,26,28,31|1,5,11
aming8889888:4,8,9,11,12,13,15,16,19,21,22,24|4,12,16
擂台探花:2,4,10,11,12,14,15,19,23,26,28,30|1,5,7
双人组:4,6,8,9,13,14,17,19,20,24,28,30|3,7,8
千年老二:1,3,6,12,14,18,20,22,23,26,29,32|1,7,12
小神通:2,4,8,10,15,16,20,21,26,27,31,32|1,9,14
军辉:2,3,6,8,14,16,17,21,23,25,30,32|11,12,14
三人小组:4,7,9,11,15,17,19,23,27,29,31,33|9,10,13
南门城楼:2,4,6,10,12,15,20,22,23,25,27,30|3,9,11
高手的姐:2,4,8,9,13,18,20,21,29,30,32,33|3,12,13
小财神:1,4,6,10,12,18,21,22,23,25,27,29|4,9,11
