开平碉楼:1,5,8,10,11,14,20,22,24,25,28,32|3,7,12
小神通:3,6,7,12,13,17,21,23,25,28,30,32|1,7,11
小财神:1,2,3,4,11,12,15,18,20,23,26,31|11,13,14
军辉:1,3,6,7,15,18,19,22,25,28,29,32|3,4,6
南天一注:1,2,8,13,16,20,24,26,28,31,32,33|1,3,8
高手的姐:2,4,8,10,13,16,18,20,22,25,31,32|6,10,12
aming8889888:6,8,10,11,12,14,16,22,23,25,26,29|4,12,14
三人小组:2,4,7,17,19,20,21,22,23,29,30,32|5,7,8
中彩king:4,6,8,12,15,19,22,23,25,26,27,29|2,3,6
齐天大圣:1,4,9,10,11,12,16,20,22,24,26,28|5,7,8
双人组:1,4,5,8,10,16,18,22,26,27,31,32|2,8,12
东北老李:1,4,5,6,11,18,20,22,23,25,27,29|1,3,11
德胜:4,6,9,10,11,12,13,16,19,20,25,26|2,9,10
南门城楼:1,4,9,12,13,16,19,20,22,25,31,32|6,7,9
古灵精怪:4,5,7,14,15,16,17,18,20,24,25,27|6,7,8
小水瓶2018:2,5,6,7,8,9,14,17,25,29,30,33|2,3,15
千年老二:1,5,7,11,16,18,20,21,22,26,27,30|5,7,9
