高手的姐:3,7,12,13,16,17,18,19,20,27,28,30|1,5,7
德胜:3,8,11,12,15,16,18,19,26,27,28,29|6,7,11
中彩昭明:3,4,7,11,12,16,19,21,24,27,29,31|4,6,10
古灵精怪:3,5,9,10,18,19,20,22,25,27,28,31|7,8,9
锅子之锄禾:2,3,9,16,17,19,20,23,24,27,30,31|1,2,5
南天一注:4,6,8,14,15,16,18,20,24,28,30,32|1,8,9
齐天大圣:1,4,7,12,16,17,18,22,23,25,26,31|7,9,10
小神通:1,2,4,7,9,12,19,23,28,29,30,33|1,7,16
aming8889888:1,4,8,9,13,14,16,18,23,24,30,31|5,9,16
小财神:1,2,3,4,11,12,15,16,20,23,28,29|4,10,13
南门城楼:4,5,6,8,14,15,19,20,21,26,27,33|1,6,7
开平碉楼:2,8,10,11,12,15,18,19,20,23,26,32|1,5,14
双人组:1,4,7,9,10,14,16,19,24,28,29,32|6,8,16
军辉:1,4,6,9,13,16,18,21,23,25,30,32|3,7,8
东北老李:1,2,3,8,9,11,12,15,16,20,24,33|4,10,13
小水瓶2018:5,6,7,15,18,22,23,24,27,29,32,33|6,10,11
三人小组:3,4,7,10,12,15,17,21,24,27,29,30|2,4,8
