阿拉丁:2,5,7,8,10,16,19,21,22,23,26,32|8,11,14
中彩昭明:3,6,9,13,15,19,21,23,25,27,29,33|10,14,16
齐天大圣:5,6,7,8,11,12,13,18,21,25,27,28|1,9,10
东北老李:1,2,3,4,10,12,15,16,20,22,23,24|6,8,11
小财神:1,2,3,4,10,12,15,16,20,22,23,28|6,8,11
古灵精怪:1,4,7,14,15,20,21,23,25,27,31,32|7,8,9
南天一注:2,4,8,12,14,16,20,24,26,28,30,32|1,9,12
锅子之锄禾:7,8,11,12,13,16,17,19,23,24,27,29|8,9,10
双人组:2,6,8,9,12,17,21,27,28,29,30,33|2,8,16
小神通:8,10,11,12,13,16,17,20,23,26,29,30|8,9,10
军辉:3,4,9,10,13,16,17,20,24,25,32,33|5,6,9
高手的姐:2,4,6,9,12,15,16,20,25,26,29,32|5,7,8
aming8889888:3,4,7,8,12,16,17,19,20,21,24,25|3,9,12
三人小组:2,7,11,12,16,17,22,23,25,27,29,32|6,9,10
德胜:11,17,18,20,21,22,23,24,25,27,29,31|3,6,7
小水瓶2018:2,3,4,5,9,10,12,17,21,24,30,31|5,9,13
开平碉楼:1,6,8,10,12,14,19,22,25,27,28,32|5,8,12
