小财神:1,2,3,8,9,11,12,14,20,21,28,32|13,14,15
军辉:3,4,6,11,12,15,18,21,24,26,28,30|5,8,11
齐天大圣:1,3,4,6,10,11,12,15,19,26,28,31|3,11,13
古灵精怪:3,4,5,6,7,15,20,21,22,24,25,31|7,8,9
南天一注:1,2,5,8,15,16,20,24,28,30,32,33|1,8,16
aming8889888:5,8,9,10,13,17,18,22,23,26,28,29|8,9,10
东北老李:1,2,3,8,9,10,11,13,14,20,23,26|10,14,15
三人小组:1,6,8,9,12,15,20,21,26,29,30,32|1,8,10
德胜:2,4,6,12,13,15,16,23,24,25,27,30|5,8,9
小水瓶2018:4,6,12,13,15,18,20,22,24,27,32,33|8,10,16
阿拉丁:4,5,6,13,14,15,18,21,26,28,32,33|8,9,11
锅子之锄禾:1,9,10,11,14,15,19,22,29,30,31,32|2,5,8
中彩昭明:3,6,10,12,13,15,16,19,23,24,29,31|3,9,12
高手的姐:2,4,6,9,12,15,16,20,25,26,29,32|5,7,8
开平碉楼:3,6,9,10,11,12,18,19,22,25,30,31|1,8,10
双人组:1,6,8,13,15,21,22,23,26,27,29,30|11,13,15
小神通:4,6,11,13,15,17,21,22,25,27,30,33|8,11,14
