南天一注:2,6,8,14,16,18,20,24,26,28,30,32|1,2,8
东北老李:1,2,3,4,9,13,15,16,20,22,23,29|2,5,11
开平碉楼:1,2,5,7,10,11,18,19,20,25,27,33|1,8,16
古灵精怪:1,3,7,12,14,16,17,18,21,27,28,29|6,7,8
GM.chen:3,10,12,14,16,18,19,22,23,29,31,32|2,6,8
斜阳追月:2,3,6,7,12,13,16,17,20,27,28,29|2,4,6
中彩昭明:3,4,6,12,14,15,18,21,23,24,28,32|2,3,5
天衍之数:1,3,5,9,18,20,21,26,27,28,31,32|5,12,15
aming8889888:1,7,8,9,14,15,18,19,24,27,28,31|1,3,7
小财神:1,2,3,4,11,12,15,16,20,22,23,28|1,5,9
德胜:9,11,12,15,16,17,18,22,25,26,27,33|4,8,11
军辉:1,5,9,11,12,15,18,23,24,26,27,32|2,9,15
三人小组:2,3,5,6,18,20,22,23,27,28,29,30|3,8,16
阿拉丁:1,3,4,7,15,17,18,21,25,27,30,33|1,4,10
锅子之锄禾:9,10,11,12,13,14,17,19,20,25,28,29|6,10,12
齐天大圣:1,3,7,10,13,14,16,19,21,23,25,28|10,12,14
双人组:5,8,9,10,13,15,18,20,24,25,26,29|1,6,8
