锅子之锄禾:5,6,10,11,13,14,17,19,24,31,32,33|1,4,7
双人组:3,4,6,8,11,13,18,22,23,26,28,31|1,3,11
小神通:3,5,9,12,14,15,19,20,25,28,31,33|3,6,8
GM.chen:1,3,8,11,15,17,18,23,25,31,32,33|4,9,12
南天一注:2,8,10,14,16,20,22,24,26,28,30,32|1,2,4
阿拉丁:1,7,9,10,11,15,20,22,23,26,27,28|4,10,16
古灵精怪:3,7,10,11,15,18,21,24,25,27,28,29|11,12,13
天衍之数:4,5,7,10,11,13,19,20,27,28,29,31|1,9,12
弹指神功:1,4,5,10,11,12,14,17,19,23,29,30|7,9,16
斜阳追月:2,6,7,12,13,15,19,25,26,31,32,33|9,13,15
齐天大圣:1,3,4,11,12,15,18,21,22,23,24,26|4,6,8
aming8889888:3,5,8,12,13,16,20,21,24,25,26,28|1,13,14
东北老李:1,4,5,10,11,15,16,19,20,21,23,28|2,3,12
三人小组:8,10,11,13,14,20,22,24,26,28,30,32|2,6,14
小财神:1,4,5,6,11,18,21,22,23,25,27,29|2,3,12
德胜:4,7,8,15,16,17,19,23,25,29,31,32|3,5,10
开平碉楼:1,5,7,10,11,15,18,19,22,25,26,33|4,12,13
