东北老李:1,2,3,8,9,10,11,15,16,20,24,31|4,9,14
锅子之锄禾:1,6,7,8,14,15,16,17,20,24,26,30|9,12,15
阿拉丁:1,3,7,8,10,13,17,19,20,23,30,33|6,12,16
南天一注:4,8,10,14,16,18,20,22,24,26,28,30|1,2,4
弹指神功:1,2,3,10,12,13,15,21,22,23,30,33|2,11,12
aming8889888:4,7,9,12,13,14,18,22,23,27,29,30|3,4,9
双人组:3,7,8,10,14,15,20,21,26,28,29,33|1,3,5
小神通:2,4,9,13,15,17,20,21,22,23,24,31|1,3,16
GM.chen:1,3,6,11,13,14,18,21,22,23,31,32|2,8,14
小财神:1,2,3,4,10,11,12,15,16,20,23,28|4,6,9
齐天大圣:3,5,7,13,14,15,20,23,24,25,26,33|5,8,12
斜阳追月:5,6,7,13,14,15,17,19,21,22,23,30|1,6,16
古灵精怪:3,4,7,8,13,14,15,20,24,25,27,28|9,10,11
天衍之数:4,5,10,11,13,14,20,22,23,26,27,33|1,10,11
德胜:2,3,4,6,7,9,11,13,19,23,25,27|2,8,12
开平碉楼:1,5,8,9,10,11,15,18,24,27,29,31|1,2,12
三人小组:3,4,8,10,13,14,22,23,26,28,30,33|5,9,11
