天衍之数:7,9,11,14,15,17,18,19,22,25,28,29|1,7,9
齐天大圣:6,9,10,12,14,16,17,18,19,25,28,30|4,11,14
福彩状元:2,5,9,10,14,15,17,18,19,23,29,32|1,6,16
开平碉楼:3,6,9,10,11,15,19,22,25,26,29,33|1,3,5
小神通:6,8,10,12,16,20,22,24,25,28,29,30|7,10,13
弹指神功:2,4,6,8,9,12,13,19,25,26,30,33|2,4,11
锅子之锄禾:1,5,7,9,10,11,12,15,16,26,30,32|11,14,15
双人组:2,8,9,15,16,20,22,26,28,30,32,33|7,9,11
小财神:1,2,3,8,9,11,12,14,15,20,23,26|1,4,16
德胜:6,8,11,12,14,16,18,21,24,25,29,30|5,12,15
东北老李:1,2,3,6,10,11,12,15,20,22,28,33|1,4,16
三人小组:2,3,10,14,17,20,23,26,29,31,32,33|5,8,12
阿拉丁:1,6,9,13,15,16,19,20,22,23,29,31|2,6,13
解码双色球:1,2,5,6,17,25,26,28,29,31,32,33|4,5,15
辽宁刚哥:1,2,3,8,9,11,12,14,20,23,26,32|4,13,15
古灵精怪:3,4,9,11,12,14,15,19,23,25,28,31|7,8,9
aming8889888:6,8,10,12,16,20,22,24,25,28,29,30|7,10,13
